,num_warmup_steps,init_lr,adam_beta1,adam_beta2,num_epochs,precision,recall,f_score,time
0,0,2e-05,0.8,0.9,3,0.9803921568627452,0.986842105263158,0.9833333333333333,113.05089497566223
1,0,2e-05,0.8,0.9,5,0.9803921568627452,0.986842105263158,0.9833333333333333,205.98414492607117
2,0,2e-05,0.8,0.999,3,0.9803921568627452,0.986842105263158,0.9833333333333333,135.9772539138794
3,0,2e-05,0.8,0.999,5,0.9803921568627452,0.986842105263158,0.9833333333333333,193.76827025413513
4,0,2e-05,0.9,0.9,3,0.9803921568627452,0.986842105263158,0.9833333333333333,123.30462741851807
5,0,2e-05,0.9,0.9,5,0.9803921568627452,0.986842105263158,0.9833333333333333,198.34049606323242
6,0,2e-05,0.9,0.999,3,0.9803921568627452,0.986842105263158,0.9833333333333333,127.68762063980103
7,0,2e-05,0.9,0.999,5,0.99,0.993421052631579,0.9916382366713492,196.9222764968872
8,0,1e-05,0.8,0.9,3,0.9803921568627452,0.986842105263158,0.9833333333333333,127.30563259124756
9,0,1e-05,0.8,0.9,5,0.99,0.993421052631579,0.9916382366713492,184.12885427474976
10,0,1e-05,0.8,0.999,3,0.9803921568627452,0.986842105263158,0.9833333333333333,136.3455936908722
11,0,1e-05,0.8,0.999,5,0.9803921568627452,0.986842105263158,0.9833333333333333,194.43196535110474
12,0,1e-05,0.9,0.9,3,0.9803921568627452,0.986842105263158,0.9833333333333333,142.29995346069336
13,0,1e-05,0.9,0.9,5,0.99,0.993421052631579,0.9916382366713492,194.03219628334045
14,0,1e-05,0.9,0.999,3,0.9803921568627452,0.986842105263158,0.9833333333333333,115.1770408153534
15,0,1e-05,0.9,0.999,5,0.9803921568627452,0.986842105263158,0.9833333333333333,183.7751157283783
16,1,2e-05,0.8,0.9,3,0.9832169709989258,0.9832169709989258,0.9832169709989258,136.46175336837769
17,1,2e-05,0.8,0.9,5,0.99,0.993421052631579,0.9916382366713492,197.69190335273743
18,1,2e-05,0.8,0.999,3,0.9803921568627452,0.986842105263158,0.9833333333333333,139.4986550807953
19,1,2e-05,0.8,0.999,5,0.9711538461538461,0.9802631578947368,0.9750814007575255,173.20323419570923
20,1,2e-05,0.9,0.9,3,0.9803921568627452,0.986842105263158,0.9833333333333333,117.93182563781738
21,1,2e-05,0.9,0.9,5,0.9803921568627452,0.986842105263158,0.9833333333333333,185.45465278625488
22,1,2e-05,0.9,0.999,3,0.9803921568627452,0.986842105263158,0.9833333333333333,128.42516422271729
23,1,2e-05,0.9,0.999,5,0.99,0.993421052631579,0.9916382366713492,207.92520904541016
24,1,1e-05,0.8,0.9,3,0.9803921568627452,0.986842105263158,0.9833333333333333,115.96475768089294
25,1,1e-05,0.8,0.9,5,0.9803921568627452,0.986842105263158,0.9833333333333333,174.18900394439697
26,1,1e-05,0.8,0.999,3,0.9803921568627452,0.986842105263158,0.9833333333333333,117.71493458747864
27,1,1e-05,0.8,0.999,5,0.9803921568627452,0.986842105263158,0.9833333333333333,220.66299533843994
28,1,1e-05,0.9,0.9,3,0.9803921568627452,0.986842105263158,0.9833333333333333,119.98326802253723
29,1,1e-05,0.9,0.9,5,0.9803921568627452,0.986842105263158,0.9833333333333333,195.6737048625946
30,1,1e-05,0.9,0.999,3,0.9803921568627452,0.986842105263158,0.9833333333333333,117.67709875106812
31,1,1e-05,0.9,0.999,5,0.9803921568627452,0.986842105263158,0.9833333333333333,185.42459726333618
