,adam_beta1,adam_beta2,f_score,init_lr,num_epochs,num_warmup_steps,precision,recall,time
0,0.8,0.9,0.9471960154307407,2e-05,3,0,0.9476901686860514,0.9470125786163521,302.61471343040466
1,0.8,0.9,0.9512029644881685,2e-05,5,0,0.9515610522705517,0.95105077465869,500.39491629600525
2,0.8,0.999,0.9400134646036286,2e-05,3,0,0.940214137692839,0.9399102623101703,338.23039507865906
3,0.8,0.999,0.9560161731098077,2e-05,5,0,0.95610726068387,0.9559556680472465,442.86554741859436
4,0.9,0.9,0.9382976856267499,2e-05,3,0,0.9407459636951296,0.9378815769289768,336.9896969795227
5,0.9,0.9,0.9504008246705411,2e-05,5,0,0.9508025086394472,0.9502377665286087,501.1364839076996
6,0.9,0.999,0.9463984575095685,2e-05,3,0,0.9468433179723502,0.9462264150943396,336.5101923942566
7,0.9,0.999,0.9439845968835556,2e-05,5,0,0.9446928161508505,0.943760546096027,442.40318298339844
8,0.8,0.9,0.9431617261695645,1e-05,3,0,0.9443392741712069,0.9428670041417395,278.2633435726166
9,0.8,0.9,0.942377964522964,1e-05,5,0,0.9432064562755962,0.9421345298358643,441.0670521259308
10,0.8,0.999,0.9399520384306954,1e-05,3,0,0.9412776822602582,0.9396418162294831,280.29835081100464
11,0.8,0.999,0.9432245074068748,1e-05,5,0,0.9432707355242567,0.9431891394385642,500.217271566391
12,0.9,0.9,0.9359181227237103,1e-05,3,0,0.9378469652109549,0.9355499309710078,337.00400161743164
13,0.9,0.9,0.9455958946862177,1e-05,5,0,0.9460885729795057,0.9454134069642584,440.9486038684845
14,0.9,0.999,0.9439903292654848,1e-05,3,0,0.9445853118805034,0.9437873907040957,335.77147006988525
15,0.9,0.999,0.9480075474255696,1e-05,5,0,0.9482827005946959,0.9478792759625709,499.07567739486694
16,0.8,0.9,0.9432082441110068,2e-05,3,1,0.9434808643049428,0.9430817610062894,279.93836402893066
17,0.8,0.9,0.9496073151970905,2e-05,5,1,0.9498833126912802,0.9494784476146648,443.57851243019104
18,0.8,0.999,0.9391698912843192,2e-05,3,1,0.9401245962159668,0.9389093419236079,336.7749066352844
19,0.8,0.999,0.9512145693340501,2e-05,5,1,0.951357483424736,0.9511313084828961,442.69021558761597
20,0.9,0.9,0.9472054693614476,2e-05,3,1,0.9475193477059148,0.9470662678324897,336.0940647125244
21,0.9,0.9,0.9527793149996961,2e-05,5,1,0.9536895582988147,0.9525157232704402,499.051794052124
22,0.9,0.999,0.942377964522964,2e-05,3,1,0.9432064562755962,0.9421345298358643,278.6699151992798
23,0.9,0.999,0.9431983654205878,2e-05,5,1,0.9436405529953917,0.9430280717901518,499.7030851840973
24,0.8,0.9,0.9415606480334959,1e-05,3,1,0.9427347862221812,0.9412678324896456,336.4495348930359
25,0.8,0.9,0.9399520384306954,1e-05,5,1,0.9412776822602582,0.9396418162294831,501.02456736564636
26,0.8,0.999,0.9415983193760971,1e-05,3,1,0.9420391705069124,0.941428900138058,277.3974244594574
27,0.8,0.999,0.9423956531971718,1e-05,5,1,0.9428853815664143,0.9422150636600706,498.3910276889801
28,0.9,0.9,0.9375761282332109,1e-05,3,1,0.9383973100560234,0.9373370148795828,279.5833189487457
29,0.9,0.9,0.9471908818788857,1e-05,5,1,0.9477894057443179,0.9469857340082835,499.1400406360626
30,0.9,0.999,0.9431813602160133,1e-05,3,1,0.9439486186061529,0.9429475379659457,335.3559956550598
31,0.9,0.999,0.9407564315883783,1e-05,5,1,0.9420052441452351,0.9404548243595643,442.2948977947235
