,num_warmup_steps,init_lr,adam_beta1,adam_beta2,power,num_epochs,precision,recall,f_score,time
0,0,2.00E-05,0.8,0.9,1,3,0.897930908,0.897659586,0.897776744,189.5698664
1,0,2.00E-05,0.8,0.9,1,5,0.933272128,0.933331285,0.933300643,190.5150948
2,0,2.00E-05,0.8,0.9,1.5,3,0.930470387,0.93005639,0.928835279,191.4311361
3,0,2.00E-05,0.8,0.9,1.5,5,0.913282921,0.898667968,0.90013455,191.3307526
4,0,2.00E-05,0.8,0.999,1,3,0.932636979,0.933104008,0.932554804,192.3048909
5,0,2.00E-05,0.8,0.999,1,5,0.932353159,0.932290191,0.931236596,192.2541947
6,0,2.00E-05,0.8,0.999,1.5,3,0.888308675,0.882685181,0.883603929,244.3738303
7,0,2.00E-05,0.8,0.999,1.5,5,0.918609054,0.913815605,0.911375964,192.0660644
8,0,2.00E-05,0.9,0.9,1,3,0.932499975,0.93296292,0.932545142,191.6710558
9,0,2.00E-05,0.9,0.9,1,5,0.929047341,0.928695856,0.927503271,191.0065572
10,0,2.00E-05,0.9,0.9,1.5,3,0.941172247,0.940449411,0.940723762,191.4114108
11,0,2.00E-05,0.9,0.9,1.5,5,0.929735014,0.929639668,0.928571246,193.9365807
12,0,2.00E-05,0.9,0.999,1,3,0.927364243,0.922367937,0.923365291,191.6246142
13,0,2.00E-05,0.9,0.999,1,5,0.936145606,0.936433803,0.936254448,190.7898796
14,0,2.00E-05,0.9,0.999,1.5,3,0.937446611,0.937148346,0.937278159,190.4308071
15,0,2.00E-05,0.9,0.999,1.5,5,0.935324377,0.934162738,0.934555849,190.7195206
16,0,1.00E-05,0.8,0.9,1,3,0.924987071,0.925428072,0.924827782,190.3512414
17,0,1.00E-05,0.8,0.9,1,5,0.938057242,0.938504329,0.938139577,190.7195206
18,0,1.00E-05,0.8,0.9,1.5,3,0.927487946,0.925706266,0.926233803,191.5212393
